target,gene_id,study,condition,mean,error
RbohB,NbL03g20890.1,main,wt_ag_2,49.8175,1.564288934308495
RbohB,NbL03g20890.1,main,wt_ag_5,56.40403333333334,4.218735833688149
RbohB,NbL03g20890.1,main,wt_ag_7,61.31646666666668,3.244962044119744
RbohB,NbL03g20890.1,main,wt_ag_10,63.34076666666667,1.742329123456429
RbohB,NbL03g20890.1,main,p19o_ag_2,56.69023333333333,7.620551565631222
RbohB,NbL03g20890.1,main,p19o_ag_5,59.03056666666667,3.838966156546722
RbohB,NbL03g20890.1,main,p19o_ag_7,65.01243333333333,1.541684470888184
RbohB,NbL03g20890.1,main,p19o_ag_10,67.03846666666666,0.9480770087099688
CDPK,NbL14g12510.1,main,wt_mock_2,7.413433333333334,0.3393911476125706
CDPK,NbL14g12510.1,main,wt_mock_5,9.004413333333334,0.5576828664612571
CDPK,NbL14g12510.1,main,wt_mock_7,12.5842,1.578056020340638
CDPK,NbL14g12510.1,main,wt_mock_10,13.61226666666667,0.9763663679400495
CDPK,NbL14g12510.1,main,wt_ag_2,9.172220000000001,0.4512361002106695
CDPK,NbL14g12510.1,main,wt_ag_5,11.66153333333333,0.4405770168515125
CDPK,NbL14g12510.1,main,wt_ag_7,13.7476,0.4366640699668338
CDPK,NbL14g12510.1,main,wt_ag_10,16.05926666666667,0.08120620529108447
CDPK,NbL14g12510.1,main,p19o_ag_2,9.410246666666668,0.7499695430556573
CDPK,NbL14g12510.1,main,p19o_ag_5,11.64533333333333,0.3773579924215792
CDPK,NbL14g12510.1,main,p19o_ag_7,14.1827,0.3154956259601704
CDPK,NbL14g12510.1,main,p19o_ag_10,16.8889,0.4694937947761763
CDPK,NbL04g02620.1,main,wt_mock_2,4.732493333333333,0.4386130320427994
CDPK,NbL04g02620.1,main,wt_mock_5,4.790776666666666,0.2330289457222953
CDPK,NbL04g02620.1,main,wt_mock_7,6.303753333333333,0.4542499709900316
CDPK,NbL04g02620.1,main,wt_mock_10,7.167416666666667,0.2967939890638697
CDPK,NbL04g02620.1,main,wt_ag_2,8.520266666666666,1.056064693288773
CDPK,NbL04g02620.1,main,wt_ag_5,13.29653333333333,0.5994654294545357
CDPK,NbL04g02620.1,main,wt_ag_7,16.61436666666667,1.707183161754409
