target,gene_id,study,condition,mean,error
MPK3-6,NbL16g20410.1,main,p19o_ag_10,425.9094351904611,24.42227175510163
MPK3-6,NbL19g13090.1,main,wt_mock_2,31.26718177598041,7.102270808571295
MPK3-6,NbL19g13090.1,main,wt_mock_5,10.5418877060295,7.65920015991316
MPK3-6,NbL19g13090.1,main,wt_mock_7,24.08754521745959,6.357792963589249
MPK3-6,NbL19g13090.1,main,wt_mock_10,16.82461969607695,2.848336102451255
MPK3-6,NbL19g13090.1,main,wt_ag_2,34.39545754814964,4.692612063762989
MPK3-6,NbL19g13090.1,main,wt_ag_5,17.21232245106,2.114060203421519
MPK3-6,NbL19g13090.1,main,wt_ag_7,36.37918808319525,4.752049646900135
MPK3-6,NbL19g13090.1,main,wt_ag_10,28.4161363250802,6.771993365752054
MPK3-6,NbL19g13090.1,main,p19o_ag_2,34.91547833870893,12.6508606554489
MPK3-6,NbL19g13090.1,main,p19o_ag_5,39.53554524420913,11.19952472675259
MPK3-6,NbL19g13090.1,main,p19o_ag_7,29.16524236306761,2.21997749969205
MPK3-6,NbL19g13090.1,main,p19o_ag_10,39.10227933697592,8.342415867698012
WRKY,NbL17g03780.1,main,wt_mock_2,9.103965260887891,5.472266608928392
WRKY,NbL17g03780.1,main,wt_mock_5,6.184064864049695,2.570712118190638
WRKY,NbL17g03780.1,main,wt_mock_7,6.945027505311356,2.197726847082963
WRKY,NbL17g03780.1,main,wt_mock_10,24.39113263470482,19.41842196122325
WRKY,NbL17g03780.1,main,wt_ag_2,202.0630319188354,74.11243648477672
WRKY,NbL17g03780.1,main,wt_ag_5,704.054171941948,91.151343728864
WRKY,NbL17g03780.1,main,wt_ag_7,978.5145064571983,60.20643226114117
WRKY,NbL17g03780.1,main,wt_ag_10,1140.821085829127,82.67235958814156
WRKY,NbL17g03780.1,main,p19o_ag_2,400.9358978470966,182.4130115243207
WRKY,NbL17g03780.1,main,p19o_ag_5,843.730974432446,192.5693913699213
WRKY,NbL17g03780.1,main,p19o_ag_7,1133.937254484083,129.4748027865041
WRKY,NbL17g03780.1,main,p19o_ag_10,944.096782453349,113.4061028943104
ACIF1,NbL12g20360.1,main,wt_mock_2,71.79319386497696,4.10678673901407
ACIF1,NbL12g20360.1,main,wt_mock_5,74.62954904609138,4.319521060252947
ACIF1,NbL12g20360.1,main,wt_mock_7,86.21471555637696,9.88615501293691
ACIF1,NbL12g20360.1,main,wt_mock_10,85.46068787536979,7.844333583514353
ACIF1,NbL12g20360.1,main,wt_ag_2,116.7499230278683,20.56028131225718
ACIF1,NbL12g20360.1,main,wt_ag_5,107.612800421627,16.55704320680972
ACIF1,NbL12g20360.1,main,wt_ag_7,115.3208062577438,5.8034730640573
ACIF1,NbL12g20360.1,main,wt_ag_10,125.234633916327,2.60466551325844
ACIF1,NbL12g20360.1,main,p19o_ag_2,156.7177385868626,34.3352065143383
ACIF1,NbL12g20360.1,main,p19o_ag_5,111.1613518349842,4.442250398014003
ACIF1,NbL12g20360.1,main,p19o_ag_7,122.3148482987222,8.098520673513397
ACIF1,NbL12g20360.1,main,p19o_ag_10,100.423129615014,4.76804936175059
ACIF1,NbL02g06170.1,main,wt_mock_2,85.56257920119315,15.16176923031092
ACIF1,NbL02g06170.1,main,wt_mock_5,87.19690938404574,8.427835164961538
ACIF1,NbL02g06170.1,main,wt_mock_7,108.4995890090115,7.148619885735275
ACIF1,NbL02g06170.1,main,wt_mock_10,91.4244385896417,12.43244112725035
ACIF1,NbL02g06170.1,main,wt_ag_2,143.7006963037082,15.6008828108919
ACIF1,NbL02g06170.1,main,wt_ag_5,135.0901140543503,7.35928488878106
ACIF1,NbL02g06170.1,main,wt_ag_7,173.4650541932688,13.19020282170579
ACIF1,NbL02g06170.1,main,wt_ag_10,157.7906977630196,9.998974923375599
ACIF1,NbL02g06170.1,main,p19o_ag_2,202.0888133645129,31.05226552178431
ACIF1,NbL02g06170.1,main,p19o_ag_5,149.7492061977692,18.91416753585592
ACIF1,NbL02g06170.1,main,p19o_ag_7,165.2374111300009,7.376698054402052
ACIF1,NbL02g06170.1,main,p19o_ag_10,135.8879819360107,8.182435505133107
EDS1,NbL11g04240.1,main,wt_mock_2,92.81022764765771,9.89732063579755
EDS1,NbL11g04240.1,main,wt_mock_5,94.61209326067923,11.06047586139388
EDS1,NbL11g04240.1,main,wt_mock_7,126.0106931138507,26.77842684305397
EDS1,NbL11g04240.1,main,wt_mock_10,100.3457627452473,11.26845094880321
EDS1,NbL11g04240.1,main,wt_ag_2,371.4935923677437,72.34574975146401
EDS1,NbL11g04240.1,main,wt_ag_5,601.8625760481979,62.63980945621061
EDS1,NbL11g04240.1,main,wt_ag_7,780.4757740320092,38.30961233420548
EDS1,NbL11g04240.1,main,wt_ag_10,856.3434852840477,58.74206065636537
EDS1,NbL11g04240.1,main,p19o_ag_2,545.9839884050576,121.6888331795316
EDS1,NbL11g04240.1,main,p19o_ag_5,674.7145128914108,69.43126494759554
EDS1,NbL11g04240.1,main,p19o_ag_7,818.2938180723773,74.44558259168694
EDS1,NbL11g04240.1,main,p19o_ag_10,798.4555681072444,42.12320880340376
NRC234,NbL13g08540.1,main,wt_mock_2,310.9165107925346,29.32840287405001
NRC234,NbL13g08540.1,main,wt_mock_5,374.9118321359321,30.7750876364122
NRC234,NbL13g08540.1,main,wt_mock_7,413.8930128577193,36.58454912773554
NRC234,NbL13g08540.1,main,wt_mock_10,352.9436372976008,33.06638994977421
NRC234,NbL13g08540.1,main,wt_ag_2,332.5176067372694,11.89743271415515
NRC234,NbL13g08540.1,main,wt_ag_5,437.096897888119,39.19548956843015
NRC234,NbL13g08540.1,main,wt_ag_7,478.1988308738073,10.47701633441251
NRC234,NbL13g08540.1,main,wt_ag_10,432.57007340254,13.76375558778343
NRC234,NbL13g08540.1,main,p19o_ag_2,375.9181443022997,39.94260553070707
NRC234,NbL13g08540.1,main,p19o_ag_5,427.9849621416988,20.16945784539165
NRC234,NbL13g08540.1,main,p19o_ag_7,415.0200792355072,21.97744902419262
NRC234,NbL13g08540.1,main,p19o_ag_10,418.2731711179263,18.87098676425556
NRC234,NbL15g18490.1,main,wt_mock_2,310.6953544755683,38.55795356467174
NRC234,NbL15g18490.1,main,wt_mock_5,333.7408743028546,36.45969277558989
NRC234,NbL15g18490.1,main,wt_mock_7,350.428114666312,36.0708718497089
NRC234,NbL15g18490.1,main,wt_mock_10,329.7110638903873,34.93609054948421
NRC234,NbL15g18490.1,main,wt_ag_2,620.7804661947957,60.86707765212203
NRC234,NbL15g18490.1,main,wt_ag_5,760.4111423511973,71.82810309465191
NRC234,NbL15g18490.1,main,wt_ag_7,887.8210418620906,19.73714162962513
NRC234,NbL15g18490.1,main,wt_ag_10,833.4424063882919,32.33968881447701
NRC234,NbL15g18490.1,main,p19o_ag_2,720.1714341293931,87.41191020994302
NRC234,NbL15g18490.1,main,p19o_ag_5,846.6449164362893,94.4720140222804
NRC234,NbL15g18490.1,main,p19o_ag_7,917.0581317684664,65.99477843844782
NRC234,NbL15g18490.1,main,p19o_ag_10,855.0751758456487,48.66885319144526
NRC234,NbL16g09570.1,main,wt_mock_2,397.3406748891003,39.42371797124238
NRC234,NbL16g09570.1,main,wt_mock_5,525.4499328354472,21.09092705853551
NRC234,NbL16g09570.1,main,wt_mock_7,565.9279708687247,12.79247097319179
NRC234,NbL16g09570.1,main,wt_mock_10,577.3467911599274,21.27769701497325
NRC234,NbL16g09570.1,main,wt_ag_2,350.7174409242701,16.31817164809354
NRC234,NbL16g09570.1,main,wt_ag_5,473.5728648259362,10.19549236065005
NRC234,NbL16g09570.1,main,wt_ag_7,515.0453855868229,21.55878026736696
NRC234,NbL16g09570.1,main,wt_ag_10,541.5797702252514,22.92588385063236
NRC234,NbL16g09570.1,main,p19o_ag_2,403.0422288991135,20.43404010590276
NRC234,NbL16g09570.1,main,p19o_ag_5,491.0776012971532,9.169713415960144
NRC234,NbL16g09570.1,main,p19o_ag_7,513.1685270239019,15.70541645793024
NRC234,NbL16g09570.1,main,p19o_ag_10,546.5011458430537,22.70236167640536
NRC234,NbL16g08640.1,main,wt_mock_2,76.67646700897758,1.992833639879078
NRC234,NbL16g08640.1,main,wt_mock_5,66.26576655503611,5.284068518073442
NRC234,NbL16g08640.1,main,wt_mock_7,87.47165414206421,7.679047165377511
NRC234,NbL16g08640.1,main,wt_mock_10,85.06664673325652,4.811850689146002
NRC234,NbL16g08640.1,main,wt_ag_2,154.9787701985415,10.119587312074
NRC234,NbL16g08640.1,main,wt_ag_5,179.9837811576327,15.07706958495286
NRC234,NbL16g08640.1,main,wt_ag_7,175.7685325798906,8.96534808895635
NRC234,NbL16g08640.1,main,wt_ag_10,147.5639396464634,7.090056092583087
NRC234,NbL16g08640.1,main,p19o_ag_2,212.6874599821612,47.53491933105482
NRC234,NbL16g08640.1,main,p19o_ag_5,218.700392549623,42.25561724077249
NRC234,NbL16g08640.1,main,p19o_ag_7,233.067130584154,26.25863476722794
NRC234,NbL16g08640.1,main,p19o_ag_10,172.1680895294701,3.38007329109249
NRC234,NbL05g20150.1,main,wt_mock_2,356.3351699013197,18.16117145399813
NRC234,NbL05g20150.1,main,wt_mock_5,389.0812148263672,16.25639556393208
NRC234,NbL05g20150.1,main,wt_mock_7,409.3773615481848,27.0760495316031
NRC234,NbL05g20150.1,main,wt_mock_10,358.0088777416756,35.17656295957554
NRC234,NbL05g20150.1,main,wt_ag_2,387.6753993862683,22.20530036756631
NRC234,NbL05g20150.1,main,wt_ag_5,493.4928543779147,34.56888891375914
NRC234,NbL05g20150.1,main,wt_ag_7,455.3148740064468,36.99267794923621
NRC234,NbL05g20150.1,main,wt_ag_10,416.8365474962674,11.33746136605931
NRC234,NbL05g20150.1,main,p19o_ag_2,423.2176200067911,13.11722984769542
NRC234,NbL05g20150.1,main,p19o_ag_5,516.8111533379356,44.79222562629766
